Pixels, Value
0, 5568
119, 46144
119,1, 46144
119,2, 46144
119,3, 46144
119,4, 46144
119,5, 46144
119,6, 46144
119,7, 46144
119,8, 46336
119,9, 46336
120, 46336
120,1, 46336
120,2, 46336
120,3, 46336
120,4, 46336
120,5, 46336
120,6, 46336
120,7, 46336
120,8, 46272
120,9, 46272
121, 46272
121,1, 46272
121,2, 46272
121,3, 46272
121,4, 46272
121,5, 46272
121,6, 46272
121,7, 46272
121,8, 45952
121,9, 45952
122, 45952
122,1, 45952
122,2, 45952
122,3, 45952
122,4, 45952
122,5, 45952
122,6, 45952
122,7, 45952
122,8, 45248
122,9, 45248
123, 45248
123,1, 45248
123,2, 45248
123,3, 45248
123,4, 45248
123,5, 45248
123,6, 45248
123,7, 45248
123,8, 46720
123,9, 46720
124, 46720
124,1, 46720
124,2, 46720
124,3, 46720
124,4, 46720
124,5, 46720
124,6, 46720
124,7, 46720
124,8, 45632
124,9, 45632
125, 45632
125,1, 45632
125,2, 45632
125,3, 45632
125,4, 45632
125,5, 45632
125,6, 45632
125,7, 45632
125,8, 46144
125,9, 46144
126, 46144
126,1, 46144
126,2, 46144
126,3, 46144
126,4, 46144
126,5, 46144
126,6, 46144
126,7, 46144
126,8, 46528
126,9, 46528
127, 46528
127,1, 46528
127,2, 46528
127,3, 46528
127,4, 46528
127,5, 46528
127,6, 46528
127,7, 46528
127,8, 45312
127,9, 45312
128, 45312
128,1, 45312
128,2, 45312
128,3, 45312
128,4, 45312
128,5, 45312
128,6, 45312
128,7, 45312
128,8, 45312
128,9, 45312
129, 45312
129,1, 45312
129,2, 45312
129,3, 45312
129,4, 45312
129,5, 45312
129,6, 45312
129,7, 45312
129,8, 45760
129,9, 45760
130, 45760
130,1, 45760
130,2, 45760
130,3, 45760
130,4, 45760
130,5, 45760
130,6, 45760
130,7, 45760
130,8, 45760
130,9, 45760
131, 45760
131,1, 45760
131,2, 45760
131,3, 45760
131,4, 45760
131,5, 45760
131,6, 45760
131,7, 45760
131,8, 45248
131,9, 45248
132, 45248
132,1, 45248
132,2, 45248
132,3, 45248
132,4, 45248
132,5, 45248
132,6, 45248
132,7, 45248
132,8, 46272
132,9, 46272
133, 46272
133,1, 46272
133,2, 46272
133,3, 46272
133,4, 46272
133,5, 46272
133,6, 46272
133,7, 46272
133,8, 46400
133,9, 46400
134, 46400
134,1, 46400
134,2, 46400
